order_id,product_id,quantity,unit_price,line_total
ord_1,prd_68,3,261000.0,783000.0
ord_1,prd_29,2,292000.0,584000.0
ord_2,prd_29,1,292000.0,292000.0
ord_2,prd_68,1,261000.0,261000.0
ord_3,prd_29,1,292000.0,292000.0
ord_3,prd_68,2,261000.0,522000.0
ord_4,prd_29,1,292000.0,292000.0
ord_4,prd_68,2,261000.0,522000.0
ord_5,prd_29,1,292000.0,292000.0
ord_5,prd_78,2,110000.0,220000.0
ord_6,prd_29,2,292000.0,584000.0
ord_7,prd_191,2,78000.0,156000.0
ord_8,prd_29,1,292000.0,292000.0
ord_8,prd_68,1,261000.0,261000.0
ord_9,prd_29,1,292000.0,292000.0
ord_10,prd_68,1,261000.0,261000.0
ord_11,prd_68,2,261000.0,522000.0
ord_12,prd_29,1,292000.0,292000.0
ord_13,prd_68,1,261000.0,261000.0
ord_13,prd_29,3,292000.0,876000.0
ord_13,prd_75,1,248000.0,248000.0
ord_14,prd_29,3,292000.0,876000.0
ord_15,prd_68,2,261000.0,522000.0
ord_16,prd_29,2,292000.0,584000.0
ord_16,prd_68,1,261000.0,261000.0
ord_17,prd_29,3,292000.0,876000.0
ord_18,prd_29,1,292000.0,292000.0
ord_19,prd_191,1,78000.0,78000.0
ord_20,prd_29,2,292000.0,584000.0
ord_20,prd_68,3,261000.0,783000.0
ord_21,prd_68,3,261000.0,783000.0
ord_21,prd_29,1,292000.0,292000.0
ord_21,prd_191,2,78000.0,156000.0
ord_22,prd_29,2,292000.0,584000.0
ord_23,prd_68,3,261000.0,783000.0
ord_24,prd_68,1,261000.0,261000.0
ord_25,prd_29,1,292000.0,292000.0
ord_25,prd_68,1,261000.0,261000.0
ord_25,prd_83,2,175000.0,350000.0
ord_26,prd_68,2,261000.0,522000.0
ord_27,prd_68,1,261000.0,261000.0
ord_28,prd_29,1,292000.0,292000.0
ord_29,prd_68,1,261000.0,261000.0
ord_29,prd_29,3,292000.0,876000.0
ord_30,prd_29,1,292000.0,292000.0
ord_30,prd_68,1,261000.0,261000.0
ord_31,prd_29,1,292000.0,292000.0
ord_32,prd_29,1,292000.0,292000.0
ord_32,prd_68,3,261000.0,783000.0
ord_33,prd_29,1,292000.0,292000.0
ord_33,prd_68,2,261000.0,522000.0
ord_34,prd_68,1,261000.0,261000.0
ord_34,prd_29,1,292000.0,292000.0
ord_35,prd_29,1,292000.0,292000.0
ord_36,prd_68,1,261000.0,261000.0
ord_36,prd_29,2,292000.0,584000.0
ord_37,prd_29,2,292000.0,584000.0
ord_38,prd_68,2,261000.0,522000.0
ord_39,prd_68,1,261000.0,261000.0
ord_40,prd_29,2,292000.0,584000.0
ord_41,prd_29,1,292000.0,292000.0
ord_41,prd_68,1,261000.0,261000.0
ord_41,prd_63,3,173000.0,519000.0
ord_42,prd_29,1,292000.0,292000.0
ord_43,prd_68,1,261000.0,261000.0
ord_44,prd_68,3,261000.0,783000.0
ord_45,prd_68,2,261000.0,522000.0
ord_46,prd_29,2,292000.0,584000.0
ord_46,prd_68,2,261000.0,522000.0
ord_46,prd_83,2,175000.0,350000.0
ord_47,prd_29,1,292000.0,292000.0
ord_48,prd_68,2,261000.0,522000.0
ord_49,prd_29,1,292000.0,292000.0
ord_50,prd_29,3,292000.0,876000.0
ord_51,prd_29,1,292000.0,292000.0
ord_52,prd_29,1,292000.0,292000.0
ord_52,prd_68,1,261000.0,261000.0
ord_53,prd_68,2,261000.0,522000.0
ord_53,prd_29,2,292000.0,584000.0
ord_54,prd_68,1,261000.0,261000.0
ord_55,prd_29,1,292000.0,292000.0
ord_56,prd_68,1,261000.0,261000.0
ord_56,prd_29,1,292000.0,292000.0
