order_id,user_id,order_created_at,total_amount,payment_method,status,branch
ord_1,user_804,2024-08-30T23:08:05,1367000.0,momo,completed,Thành phố JaneQuận
ord_2,user_578,01-05-2025 04:53:59,553000.0,momo,completed,JohnHuyện
ord_3,user_790,06-26-2024 21:56:38,814000.0,cash,returned,Quận JaneXã 
ord_4,user_292,04/02/2024 05:58:36,814000.0,card,completed,Quận JaneQuận 
ord_5,user_630,08-23-2025 18:20:44,512000.0,cash,pending,Huyện JohnHuyện 
ord_6,user_16,11-24-2024 15:28:08,584000.0,card,cancelled,Quận JaneThành phố
ord_7,user_492,2025-07-20T23:51:25,156000.0,vnpay,completed,Huyện JohnQuận
ord_8,user_42,26/06/2024 03:21:39,553000.0,card,completed,JohnThị xã 
ord_9,user_180,24/08/2024 19:05:27,292000.0,cash,completed,JohnPhường
ord_10,user_934,17/05/2025 12:23:32,261000.0,vnpay,completed,Thành phố JaneQuận
ord_11,user_170,20/05/2024 07:54:00,522000.0,vnpay,pending,JohnHuyện
ord_12,user_919,11-13-2024 19:09:33,292000.0,cash,completed,Huyện JohnHuyện
ord_13,user_5,09-26-2025 02:24:32,1385000.0,card,completed,Thành phố JaneXã
ord_14,user_825,01-13-2024 10:14:43,876000.0,vnpay,pending,JaneXã
ord_15,user_685,2024-07-16T20:00:29,522000.0,cash,completed,JohnThành phố
ord_16,user_952,08-05-2024 07:49:48,845000.0,cash,completed,Huyện JaneThị xã
ord_17,user_988,04-19-2025 02:35:33,876000.0,vnpay,pending,Thành phố JohnHuyện
ord_18,user_137,01-29-2024 13:17:54,292000.0,momo,completed,Huyện JaneXã 
ord_19,user_595,12-24-2024 12:21:31,78000.0,card,pending,Quận JaneHuyện
ord_20,user_122,03-22-2024 12:06:39,1367000.0,momo,completed,Huyện JanePhường
ord_21,user_195,09/08/2025 19:41:10,1231000.0,cash,completed,JohnPhường
ord_22,user_336,23/06/2025 19:45:04,584000.0,,completed,Thị xã JaneThành phố 
ord_23,user_992,2024-01-12T21:37:48,783000.0,momo,completed,Quận JohnThành phố
ord_24,user_297,12-09-2024 07:23:20,261000.0,momo,completed,Thành phố JohnHuyện 
ord_25,user_757,16/07/2025 12:30:37,903000.0,cash,completed,Thị xã JaneXã
ord_26,user_634,03-07-2025 14:28:36,522000.0,vnpay,completed,Thị xã JohnHuyện
ord_27,user_86,12/06/2025 19:53:28,261000.0,cash,completed,Quận JanePhường
ord_28,user_404,09-08-2025 21:15:25,292000.0,vnpay,completed,JohnQuận
ord_29,user_185,14/05/2025 00:44:41,1137000.0,vnpay,completed,Quận JaneHuyện
ord_30,user_407,10/04/2024 13:56:59,553000.0,momo,completed,JohnPhường
ord_31,user_188,22/09/2025 16:39:27,292000.0,momo,completed,JohnThành phố
ord_32,user_936,08-28-2024 00:34:33,1075000.0,vnpay,completed,JanePhường
ord_33,user_920,07-10-2024 18:52:33,814000.0,vnpay,completed,Quận JaneXã 
ord_34,user_761,03-22-2024 05:31:41,553000.0,cash,completed,Thành phố JohnQuận
ord_35,user_140,31/03/2024 22:16:00,292000.0,cash,completed,Quận JaneQuận
ord_36,user_379,04-16-2024 19:00:43,845000.0,cash,completed,Thành phố JaneXã
ord_37,user_503,2024-12-15T00:58:42,584000.0,card,completed,JanePhường
ord_38,user_37,07-05-2024 11:04:56,522000.0,card,completed,Huyện JohnXã 
ord_39,user_382,08-24-2025 03:09:43,261000.0,cash,completed,JohnQuận 
ord_40,user_427,07-05-2025 05:50:51,584000.0,card,completed,Thành phố JaneQuận
ord_41,user_920,21/08/2025 09:57:29,1072000.0,vnpay,completed,Quận JohnXã
ord_42,user_577,10-22-2024 10:37:17,292000.0,cash,completed,JaneXã
ord_43,user_925,2024-06-04T03:59:12,261000.0,card,completed,JohnHuyện
ord_44,user_342,10-31-2024 23:22:10,783000.0,cash,returned,Thành phố JohnThị xã 
ord_45,user_160,15/03/2024 05:41:09,522000.0,momo,completed,JaneQuận
ord_46,user_745,14/04/2025 08:09:13,1456000.0,card,returned,JanePhường
ord_47,user_270,08/05/2024 14:07:51,292000.0,vnpay,pending,JohnQuận
ord_48,user_427,2025-06-25T20:11:06,522000.0,cash,completed,Thị xã JanePhường
ord_49,user_914,02-17-2025 18:10:52,292000.0,cash,completed,JohnThị xã
ord_50,user_171,2024-11-18T18:32:03,876000.0,momo,completed,JohnXã
ord_51,user_302,2024-11-01T04:59:29,292000.0,card,completed,Huyện JohnQuận
ord_52,user_722,25/07/2025 07:04:32,553000.0,cash,returned,Thành phố JohnThành phố 
ord_53,user_909,11-13-2024 22:52:02,1106000.0,vnpay,cancelled,JohnXã 
ord_54,user_288,2024-11-09T21:59:38,261000.0,cash,completed,JohnPhường
ord_55,user_338,2024-04-03T07:22:31,292000.0,cash,completed,JaneXã
ord_56,user_848,2025-02-14T20:17:17,578000.0,cash,completed,Huyện JohnXã
ord_57,user_889,2024-08-21T17:37:41,584000.0,cash,completed,Quận JanePhường 
ord_58,user_928,2024-12-07T10:56:42,553000.0,card,completed,JohnThị xã
ord_59,user_223,11-30-2024 21:19:28,728000.0,cash,completed,JohnThành phố 
ord_60,user_67,2024-08-08T11:05:06,1075000.0,momo,completed,Thành phố JaneQuận
ord_61,user_676,2024-08-19T04:55:45,876000.0,momo,completed,JohnPhường 
